title,author,tokens,sentences,ttr,JJ,MD,JJR,JJS,VBD
Redgauntlet:_A_Tale_Of_The_Eighteenth_Century,Scott,186563,5137,0.363,0.06505041192519417,0.017088061405530573,0.0027122205367623806,0.002251250247905533,0.055289634064632324
Guy_Mannering;_or_The_Astrologer_—_Complete,Scott,179917,5970,0.36666666666666664,0.0653523569201354,0.014540037906367936,0.002084294424651367,0.0020342713584597344,0.05934958897713946
Kenilworth,Scott,186798,7368,0.38966666666666666,0.06620520562318655,0.017334232700564247,0.002644567928992816,0.0029604171350870994,0.056017730382552276
The_Heart_of_Mid-Lothian_Complete,Scott,234890,5693,0.4096666666666667,0.06681851079228575,0.01355528119545319,0.0025288432883477374,0.0018859891864276895,0.06038571246115203
Old_Mortality_Complete,Scott,180234,4808,0.375,0.06504322158971115,0.014647624754485835,0.0023580456517638183,0.0016922445265599166,0.05596058457338793
Rob_Roy_—_Volume_01,Scott,93932,3161,0.37833333333333335,0.06436571136566878,0.015000212919984669,0.002320827832900396,0.0022463058382659797,0.05337904015670911
Minstrelsy_of_the_Scottish_Border_Volume_3_(of_3)\r\nConsisting_of_Historical_and_Romantic_Ballads_Collected_in_the_Southern_Counties_of_Scotland;_with_a_Few_of_Modern_Date_Founded_Upon_Local_Tradition,Scott,73357,3488,0.408,0.06633313794184605,0.00909252014122715,0.0017176274929454585,0.001853947135242717,0.044835530351568356
Life_of_Napoleon_Bonaparte_Volume_II,Scott,214434,8281,0.38566666666666666,0.06841732187992576,0.01067461316768796,0.0018513855078952032,0.0017487898374324968,0.059188374977848665
The_Heart_of_Mid-Lothian_Volume_2,Scott,128168,4155,0.349,0.06443886149428875,0.014090880719056238,0.0025513388677360963,0.0018881468073153986,0.0619577429623619
The_Bride_of_Lammermoor,Scott,125528,3136,0.37333333333333335,0.06660665349563444,0.015175897011025428,0.002692626346313173,0.0019756548339812633,0.058273851252310244
Life_of_Napoleon_Bonaparte_Volume_III,Scott,206785,7021,0.391,0.06984065575356047,0.011514374833764537,0.0018183137074739464,0.0019198684624126508,0.058708320235993906
The_Monastery,Scott,172885,4042,0.38333333333333336,0.06576626080920843,0.0162593631604824,0.00324493160193192,0.0023888712149694883,0.05320299621135437
Rob_Roy_—_Volume_02,Scott,98009,3189,0.373,0.06255547959881236,0.01361099490863084,0.0025915987307288104,0.0020508320664428775,0.060494444387760304
A_Legend_of_Montrose,Scott,88962,2055,0.37833333333333335,0.06484791259189317,0.015366111373395382,0.0028214293743396056,0.002124502596614285,0.05558553090083406
The_Heart_of_Mid-Lothian_Volume_1,Scott,107532,3651,0.4036666666666667,0.06716140311721162,0.01332626566975412,0.0025294795967711935,0.0018320127961909012,0.05757355949856787
The_Fair_Maid_of_Perth;_Or_St_Valentines_Day,Scott,184052,7606,0.3943333333333333,0.06286266924564797,0.019222828331123813,0.002591658879012453,0.0028252885054223806,0.05051833177580249
Trial_of_Duncan_Terig_alias_Clerk_and_Alexander_Bane_Macdonald\nfor_the_Murder_of_Arthur_Davis_Sergeant_in_General_Guises\nRegiment_of_Foot,Scott,16962,393,0.391,0.03749557835160948,0.008666430845419171,0.0010611956137247967,0.0004126871831151987,0.07699563730692136
The_Journal_of_Sir_Walter_Scott\nFrom_the_Original_Manuscript_at_Abbotsford,Scott,317507,20826,0.393,0.06389150475422589,0.016050039841641286,0.002299161908241393,0.0021259373809081375,0.04215970041605382
