title,tokens,sentences,ttr,JJ,MD,JJR,JJS,VBD
Aias,11414,1136,0.42133333333333334,0.07455756089013492,0.018748904853688454,0.001927457508323112,0.0031540213772560015,0.0319782722971789
Antigone,10787,1003,0.4056666666666667,0.07147492351905071,0.017613794382126634,0.002410308704922592,0.003986279781218133,0.033002688421247796
Elektra,12284,1351,0.402,0.06667209378052752,0.01815369586453924,0.0020351676978183,0.0038261152718984046,0.02955063497232172
OedipusColoneus,14633,1649,0.35833333333333334,0.06868037996309712,0.021321670197498803,0.0024601927150960158,0.0027335474612177955,0.024396911091368823
OedipusRex,13013,1465,0.38133333333333336,0.068546837777607,0.01967263505725044,0.0026896180742334587,0.0030738492276953817,0.03166064704526243
Philoctetes,12154,1416,0.376,0.06894849432285667,0.020733914760572653,0.001974658548625967,0.004196149415830179,0.023860457462563767
TrachinianMaidens,10561,963,0.38766666666666666,0.07253101032099234,0.018085408578733076,0.002556576081810435,0.0034087681090805796,0.033803617081715746
